"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.67223340116091,0.153249784707131
1,"CS1","beta",0.512674599713622,0.00138078178362334
1,"CS1","lambda",1.89959184050169,0.209358493123972
1,"CS2","alpha",1.66181896877326,0.125446076530361
1,"CS2","beta",0.509250877926827,0.00127040851982019
1,"CS2","lambda",1.93362775969729,0.22160059196789
1,"CS3","alpha",1.74673838840966,0.125023614732026
1,"CS3","beta",0.513948956289791,0.00108555852195803
1,"CS3","lambda",1.88175588856028,0.292488626336175
1,"CS4","alpha",1.63640029761832,0.110377629483953
1,"CS4","beta",0.508980295546466,0.00143333870482798
1,"CS4","lambda",1.9413632569807,0.224323592669548
1,"CS5","alpha",1.65561003622499,0.156022982054692
1,"CS5","beta",0.506472766604607,0.00116882186495369
1,"CS5","lambda",1.92590085613531,0.217335438656994
1,"CS6","alpha",1.69591392453813,0.118849620001225
1,"CS6","beta",0.50969846048348,0.00108467260930063
1,"CS6","lambda",1.87032447394808,0.178889795693033
1,"CS7","alpha",1.67974367370257,0.132852709545093
1,"CS7","beta",0.508308234322135,0.0011560128511925
1,"CS7","lambda",1.89981736223393,0.219550684530009
2,"CS1","alpha",2.41962610224679,0.331463994821931
2,"CS1","beta",1.19293644098593,0.00599419264486545
2,"CS1","lambda",2.59466675043487,0.549998310260173
2,"CS2","alpha",2.34945444304118,0.234446654479964
2,"CS2","beta",1.18437714262613,0.00437163096120815
2,"CS2","lambda",2.64525924719288,0.424937649898591
2,"CS3","alpha",2.34215744155688,0.1943519562054
2,"CS3","beta",1.18293147426706,0.00438287078945324
2,"CS3","lambda",2.61646870027934,0.503763964936666
2,"CS4","alpha",2.38214030947238,0.202130855641549
2,"CS4","beta",1.18002947302412,0.00417260212036021
2,"CS4","lambda",2.5804626660123,0.471557247509486
2,"CS5","alpha",2.39198658326837,0.180330880657837
2,"CS5","beta",1.18736496600728,0.00349070399536604
2,"CS5","lambda",2.65982489599677,0.406547636679766
2,"CS6","alpha",2.40989095637955,0.323446794481899
2,"CS6","beta",1.19264872182916,0.00401487684245637
2,"CS6","lambda",2.64862673081865,0.462695549994332
2,"CS7","alpha",2.48116302705711,0.231993371161145
2,"CS7","beta",1.19301624803673,0.00454481196671278
2,"CS7","lambda",2.4976473426817,0.600691955889051
