"Setting","CS","Parameter","CP","AL"
1,"CS1","alpha",0.91,1.58089828450816
1,"CS1","beta",0.93,0.132879588110057
1,"CS1","lambda",0.85,1.35682849037708
1,"CS2","alpha",0.9,1.36213824148866
1,"CS2","beta",0.91,0.126917099405503
1,"CS2","lambda",0.85,1.42062045227823
1,"CS3","alpha",0.92,1.45787454925546
1,"CS3","beta",0.95,0.122022588045577
1,"CS3","lambda",0.8,1.38053692129177
1,"CS4","alpha",0.93,1.40289366005327
1,"CS4","beta",0.91,0.12180431712407
1,"CS4","lambda",0.84,1.38668441637783
1,"CS5","alpha",0.89,1.37738702586876
1,"CS5","beta",0.89,0.123652635368897
1,"CS5","lambda",0.84,1.45516658576459
1,"CS6","alpha",0.91,1.43599640322608
1,"CS6","beta",0.97,0.127400169604759
1,"CS6","lambda",0.84,1.40396922474689
1,"CS7","alpha",0.9,1.39911514524017
1,"CS7","beta",0.91,0.125734906505229
1,"CS7","lambda",0.85,1.38171005858193
2,"CS1","alpha",0.88,2.29669242083986
2,"CS1","beta",0.94,0.267004695886938
2,"CS1","lambda",0.79,1.80510872241257
2,"CS2","alpha",0.93,2.02124147973019
2,"CS2","beta",0.95,0.259611550572201
2,"CS2","lambda",0.74,1.68986492707468
2,"CS3","alpha",0.94,2.05234162864043
2,"CS3","beta",0.92,0.250899103568992
2,"CS3","lambda",0.73,1.67240630929478
2,"CS4","alpha",0.94,2.0643756093157
2,"CS4","beta",0.94,0.244816901309335
2,"CS4","lambda",0.76,1.70866604273165
2,"CS5","alpha",0.97,2.01642194047228
2,"CS5","beta",0.96,0.251886947496089
2,"CS5","lambda",0.84,1.71511256503597
2,"CS6","alpha",0.91,2.13129266379869
2,"CS6","beta",0.94,0.260715148256814
2,"CS6","lambda",0.77,1.71450299592536
2,"CS7","alpha",0.95,2.09281433072648
2,"CS7","beta",0.95,0.257870673328759
2,"CS7","lambda",0.71,1.77974393265662
